employee_id,first_name,last_name,department,job_title,pay_grade,start_date,termination_date,salary,job_type,work_email
EMP1135,Jonathan,Kim,Finance,Accountant,PG3,"December 18, 2022",,48134,temporary,jonathan.kim@atech.org
EMP1263,Catherine,Parker,Operations,Operations Director,PG9,19-Oct-2019,,120775,PT,catherine.parker@atech.org
EMP1345,Joseph,Taylor,Human Resources,Recruiter,PG3,18-Feb-2023,,,FT,joseph.taylor@atech.org
EMP1383,David,Cook,Human Resources,HR Generalist,PG4,01/10/2019,,60132,full-time,david.cook@atech.org
EMP1063,Richard,Anderson,Engineering,Civil Engineer,PG6,2020-02-15,,"$82,092",Full-time ,richard.anderson@atech.org
EMP1150,Heather,Moore,Information Technology,IT Support Specialist,PG4,2018/09/06,,48277,Part Time,heather.moore@atech.org
EMP1125,Katherine,Jones,Finance,Accounts Payable Clerk,PG2,2025/09/04,2025/11/11,35106,full-time,katherine.jones@atech.org
EMP1427,Ashley,Miller,Marketing,Marketing Manager,PG7,2025/12/19,,,Contract,ashley.miller1@atech.org
EMP1379,Kevin,GARCIA,Executive,VP of Sales,PG9,2017-11-25,2018/07/12,141293,Contract,kevin.garcia@atech.org
EMP1221,michelle,Howard,Information Technology,Data Analyst,PG5,"October 13, 2018",08/16/2021,65365,PT,michelle.howard@atech.org
EMP1397,Patricia,Cooper,Executive,Chief Operating Officer,PG6,"October 25, 2021",,72908,Full-Time,patricia.cooper@atech.org
EMP1323,Frank, Cruz ,Executive,VP of Marketing,PG9,"April 22, 2022",16-Aug-2023,141362,full-time,frank.cruz@atech.org
EMP1051,Donna,Rivera,Operations,Logistics Coordinator,PG3,03-29-24,,44385,Full-Time,donna.rivera@atech.org
EMP1107,Lisa,Nguyen,Human Resources,HR Generalist,PG4,05/29/2017,,52888,Full-time ,lisa.nguyen@atech.org
EMP1224, Debra ,Perez,Engineering,Civil Engineer,,04-12-18,,82621,Full Time,debra.perez@atech.org
EMP1178,Stephen,Davis,Customer Service,Client Success Manager,PG7,2025-08-25,,92547,full-time,stephen.davis@atech.org
EMP1097,RYAN,walker,Sales,Sales Director,pg9,2021-04-23,,128127,part-time,ryan.walker@atech.org
EMP1106,dennis,Torres,Operations,Warehouse Associate,pg2,01-02-17,,40582,Part-Time,dennis.torres@atech.org
EMP1278,Ryan,Young,Customer Service,Client Success Manager,PG7,2023/07/14,,76370,Temporary,ryan.young@atech.com
EMP1260,Pamela,Roberts,Legal,Compliance Officer,PG6,2016-08-03,2019/01/04,66608,Contract,pamela.roberts1@atech.org
EMP1196,Angela,richardson,Finance,Finance Manager,PG7,03/01/2026,,78735,CONTRACT,angela.richardson@atech.org
EMP1420,Eric,Nelson,Executive,Chief Financial Officer,PG-6,2016-07-07,,68539,Temp,eric.nelson@atech.org
EMP1237,Stephanie,Kelly,Human Resources,HR Coordinator,PG3,"May 22, 2017",,44867,Full-Time,stephanie.kelly@atech.org
EMP1086,carol,White,Legal,Legal Assistant,PG2,2026/08/24,,39018,FULL-TIME,carol.white@atech.org
EMP1499,Elizabeth,DIAZ,Sales,Business Development Rep,PG3,04/01/2017,,46569,Part-Time,elizabeth.diaz@atech.org
EMP1226,Eric,phillips,Operations,Warehouse Associate,PG2,02-24-15,,37976,Full-Time,eric.phillips@atech.org
EMP1299,Dennis,Jackson,information technology,DevOps Engineer,PG6,"January 11, 2025",,85408,Full-time ,dennis.jackson@atech.org
EMP1388,Joseph,Murphy,Executive,Chief Operating Officer,PG6,2015/06/20,09-14-17,79690,Full Time,joseph.murphy@atech.org
EMP1250,George,EVANS,marketing,Marketing Manager,pg7,21-Jan-2018,,84947,full-time,george.evans@atech.org
EMP1421,Thomas,Flores,Executive,VP of Sales,PG9,01/09/2023,,153628,CONTRACT,thomas.flores@atech.org
EMP1382,Kathleen,Hill,Information Technology,Systems Administrator,PG3,"August 04, 2024",,49843,Full-Time,kathleen.hill@atech.org
EMP1473,Katherine,LEE,Finance,Controller,PG3,2015/10/14,"April 06, 2017",48413,Temp,katherine.lee@atech.org
EMP1426, Sharon ,RODRIGUEZ,Finance,Financial Analyst,PG5,20-Apr-2019,,59285,full-time,sharon.rodriguez@atech.org
EMP1447, Scott ,Cruz,Operations,Operations Manager,PG7,11/21/2015,,84113,PT,scott.cruz@atech.org
EMP1165,FRANK,Gomez,Legal,Paralegal,PG4,2018-11-16,,51270,full-time,frank.gomez@atech.org
EMP1377,Frank,Jackson,Finance,Finance Manager,PG7,05-16-21,2023/05/05,78066,Full-time ,frank.jackson@atech.org
EMP1163,carolyn,Young,Operations,Logistics Coordinator,pg3,09/14/2021,2023-09-26,"$50,412",CONTRACT,carolyn.young@atech.org
EMP1090,Carolyn,Cruz,Finance,Payroll Specialist,PG4,06/15/2016,,58472,Full Time,carolyn.cruz@atech.org
EMP1413,Mark,WILLIAMS,marketing,Graphic Designer,PG4,2019/04/18,2026/04/03,61096,Part Time,mark.williams@atech.org
EMP1313,Samuel,Wilson,Legal,Compliance Officer,pg6,"July 30, 2016",,68384.00,full-time,samuel.wilson@atech.org
EMP1281,Joseph,Edwards,Operations,Operations Analyst,PG5,2026/06/23,,72164,Full-Time,joseph.edwards@atech.org
EMP1008,Nicholas,Cox,Sales,Account Executive,PG3,01-05-15,,52252,FT,"nicholas.cox@atech,org"
EMP1304,Ashley,Stewart,Finance,Payroll Specialist,PG4,2022/09/15,"May 12, 2022",58239,TEMPORARY,
EMP1467,Christopher,Williams,Engineering,Project Engineer,PG6,"August 14, 2025",,79056,FULL-TIME,christopher.williams@atech.org
EMP1438,Rebecca,Young,Information Technology,QA Engineer,PG6,2019/02/11,,83002,Part-Time,rebecca.young@atech.org
EMP1435,Alexander,COX,Legal,Paralegal,PG4,08/28/2023,,48058,Part-Time,alexander.cox@atech.org
EMP1177,Lisa,MITCHELL,Customer Service,Call Center Agent,PG2,11/26/2020,,35056.00,Contract,lisa.mitchell@atech.org
EMP1415,Emily,Harris,Human Resources,Benefits Specialist,PG4,"March 07, 2025",,56287,Temporary,emily.harris1@atech.org
EMP1287,Anthony,Ward,Customer Service,Client Success Manager,PG7,2019-10-06,2022/02/06,76490,contract ,anthony.ward@atech.org
EMP1469,Edward,Perez,Human Resources,HR Generalist,PG4,2019/01/11,,53825,FT,
EMP1248,Catherine,hernandez,Finance,Finance Manager,,09-29-23,,95253.00,Full-time ,catherine.hernandez@atech.com
EMP1132,Sharon,Kim,Information Technology,IT Manager,PG7,07-04-19,,85507,FT,sharon.kim@atech.org
EMP1290,Joseph,flores,Operations,Operations Analyst,PG5,2026-02-23,,63896,contract ,joseph.flores@atech.org
EMP1328,Benjamin,Reyes,Human Resources,Benefits Specialist,PG4,2022/06/20,,50316,PART-TIME,benjamin.reyes@atech.org
EMP1327,JASON,Ramirez,Information Technology,Data Analyst,PG5,13-Jan-2017,14-Aug-2024,64692,FULL-TIME,jason.ramirez@atech.org
EMP1374,nicole,kim,Human Resources,HR Generalist,PG4,2023/07/18,,"$52,155",FULL-TIME,nicole.kim@atech.org
EMP1137,Richard,Cruz,Legal,Compliance Officer,PG6,07/31/2017,2021/07/05,67201,CONTRACT,richard.cruz@atech.org
EMP1432,Sandra,Robinson,Sales,Business Development Rep,PG3,07/06/2025,,39829,contract ,sandra.robinson@atech.org
EMP1458,Timothy,Cox,Engineering,Electrical Engineer,PG6,23-Jul-2022,,83922,PT,timothy.cox1@atech.org
EMP1307,Amy,Evans,Customer Service,Customer Support Lead,PG5,2018/10/02,2022-09-14,"$68,824",Part-Time,amy.evans@atech.org
EMP1358,Gregory,Clark,Operations,Logistics Coordinator,PG3,08-13-22,20-Jan-2026,50237,Full-time ,gregory.clark1@atech.org
EMP1291,KATHLEEN,Cook,Information Technology,Network Engineer,PG6,"December 17, 2021",,79144,CONTRACT,kathleen.cook@atech.org
EMP1418,HEATHER,Kim,Executive,VP of Sales,PG9,2017-10-19,2018-07-24,126269,Contract,"heather.kim@atech,org"
EMP1110,Nicholas,Flores,Finance,Payroll Specialist,PG4,2019/12/15,07-14-21,57667,PART-TIME,nicholas.flores1@atech.org
EMP1389,carolyn,Roberts,Customer Service,Call Center Agent,PG2,08/20/2018,,39738.00,part-time,carolyn.roberts@atech.org
EMP1103,Ashley,Scott,Engineering,Electrical Engineer,PG6,09-04-21,,75368,part-time,ashley.scott@atech.org
EMP1344,Jason,Baker,Information Technology,IT Support Specialist,,2019-12-17,,55139,Full-time ,jason.baker@atech.org
EMP1029,Rebecca,Morgan,Engineering,Engineering Manager,PG6,"February 13, 2021",,75226,Full-time ,rebecca.morgan@atech.org
EMP1394,Eric,CAMPBELL,Human Resources,Recruiter,PG3,2026/08/09,,44770,Full Time,eric.campbell@atech.org
EMP1350,Mark,Peterson,Customer Service,Call Center Agent,PG2,07/24/2016,,,TEMPORARY,mark.peterson@atech.org
EMP1032,Nancy,COX,Executive,Chief Executive Officer,PG6,2017/06/04,,70366,full-time,nancy.cox@atech.org
EMP1036,Donna,Lewis,Customer Service,Customer Support Lead,PG5,2023/04/12,,63016,Full-time ,donna.lewis@atech.org
EMP1114,Sarah,Hall,Finance,Financial Analyst,PG5,11/09/2017,,72604,Full-Time,sarah.hall@atech.org
EMP1407,DENNIS,KIM,Executive,Chief Financial Officer,PG6,"April 25, 2026",,81153,full-time,dennis.kim1@atech.org
EMP1122,JACK,Morales,Legal,Legal Counsel,,2025-12-14,,118080,Temporary,
EMP1067,Ryan,Baker,Information Technology,Data Analyst,PG5,2016-11-26,,65211,Part-Time,ryan.baker@atech.org
EMP1381,Edward,Lopez,Customer Service,Call Center Agent,PG2,2024-07-21,,42057,Full Time,edward.lopez@atech.org
EMP1046,Karen,Murphy,Marketing,Marketing Director,PG9,27-Oct-2025,,122919,full-time,karen.murphy@atech.org
EMP1019,Amanda,Clark,Sales,Sales Representative,PG3,02-12-24,,43794,Temp,
EMP1445,Nancy,Allen,finance,Controller,PG3,"September 19, 2023",,,PT,nancy.allen@atech.org
EMP1091,Donald,Murphy,Human Resources,HR Coordinator,PG3,06/25/2025,,"$51,077",Full-Time,donald.murphy@atech.org
EMP1321,Benjamin, Hill ,Operations,Logistics Coordinator,PG3,04-22-19,2025-05-01,42074,CONTRACT,"benjamin.hill@atech,org"
EMP1319,DANIEL,Nelson,Finance,Accountant,,2024-04-23,,"$48,974",FULL-TIME,daniel.nelson@atech.org
EMP1018,James,Nelson,Information Technology,IT Manager,PG7,2024-08-04,,80294,Temp,james.nelson@atech.org
EMP1357,ROBERT,Morgan,Operations,Operations Analyst,PG5,2024/06/22,,70103,Full-time ,robert.morgan@atech.org
EMP1331,helen,mitchell,finance,Financial Analyst,PG-5,10-06-23,,,Temporary,helen.mitchell@atech.org
EMP1461,Donna,Cox,Sales,Account Executive,PG3,04/26/2026,,57041,Full-time ,donna.cox1@atech.org
EMP1225,Jacob,Collins,Human Resources,HR Generalist,PG4,02/18/2021,,58625,Full Time,jacob.collins@atech.org
EMP1294,Deborah,Miller,Finance,Accounts Payable Clerk,,12-31-24,,35210,Contract,deborah.miller@atech.org
EMP1318,William,Wilson,Finance,Accounts Payable Clerk,PG2,"December 12, 2019",04-20-22,36874,Contractor,william.wilson@atech.org
EMP1162,Laura,Reyes,Operations,Logistics Coordinator,PG3,2019-08-28,,43978.00,Contract,
EMP1460,Robert,Campbell,Human Resources,Benefits Specialist,PG4,03-28-20,,58666,Full-Time,robert.campbell@atech.org
EMP1141,Gary,Torres,Information Technology,Systems Administrator,PG3,03-15-16,,50308,Full Time,gary.torres@atech.org
EMP1401,Joseph,THOMAS,Operations,Operations Director,pg9,06-09-18,08-Dec-2021,123978.00,Full Time,joseph.thomas@atech.org
EMP1187,Joshua, Wilson ,Legal,Paralegal,PG4,17-Apr-2022,,,PT,"joshua.wilson1@atech,org"
EMP1004,Ryan,campbell,Information Technology,Data Analyst,PG5,2020/12/27,,,Full-time ,ryan.campbell@atech.org
EMP1297,DEBORAH,Rodriguez,Operations,Operations Manager,PG7,"October 06, 2024",,97742,Part Time,deborah.rodriguez@atech.org
EMP1128,Heather,Adams,Human Resources,Benefits Specialist,PG4,07-Feb-2025,,,temporary,heather.adams@atech.org
EMP1387,CAROLYN,PARKER,Customer Service,Client Success Manager,PG7,07-10-21,02-01-26,99152,part-time,carolyn.parker@atech.org
EMP1362,DEBRA,kim,Sales,Business Development Rep,PG-3,04/22/2019,11-13-22,39907,temporary,debra.kim@atech.org
EMP1266,Sharon,turner,Finance,Financial Analyst,PG5,"July 31, 2023",,74736,Full Time,sharon.turner@atech.org
EMP1020,Christine,Young,Marketing,Marketing Manager,PG-7,2015-11-14,,97979,Contractor,christine.young@atech.org
EMP1182,Carol,Hill,Marketing,Content Strategist,PG3,03-15-17,,56109,Full-time ,carol.hill@atech.org
EMP1295,Michelle,Reyes,Legal,Legal Counsel,,10/14/2020,,109666,PT,michelle.reyes@atech.com
EMP1267,Nicholas,Lopez,Sales,Business Development Rep,PG3,04-27-18,04-30-19,40747,full-time,nicholas.lopez@atech.org
EMP1246,Charles,Perez,Operations,Logistics Coordinator,PG3,29-Jan-2024,,52342,Full Time,charles.perez@atech.org
EMP1375,Shirley,Parker,Information Technology,IT Manager,PG7,11/13/2017,,78828,FT,shirley.parker@atech.org
EMP1322,Amy,Thompson,Information Technology,Software Engineer,PG6,05/24/2021,17-Apr-2024,"$69,770",Contractor,amy.thompson@atech.org
EMP1111,dennis,Kim,Finance,Controller,PG3,2023-02-11,,54639,CONTRACT,dennis.kim@atech.org
EMP1160,Rebecca,Morales,Human Resources,HR Manager,PG7,"December 26, 2015",,98319,Full-time ,rebecca.morales@atech.org
EMP1482,debra,Cox,Human Resources,HR Director,PG9,2020-01-18,03/30/2024,134402,temporary,debra.cox@atech.org
EMP1476,Rachel,HARRIS,Operations,Operations Director,PG9,2024/05/31,,"$138,516",Contractor,rachel.harris@atech.org
EMP1483,Donna,Hill,Legal,Compliance Officer,PG6,2023-10-30,,73675,Temporary,
EMP1455,BARBARA,WILSON,Executive,Chief Operating Officer,PG6,09/13/2019,,69676,Full Time,barbara.wilson@atech.org
EMP1450,Ronald,CARTER,Information Technology,DevOps Engineer,PG6,09/20/2024,,82463,Contract,ronald.carter@atech.org
EMP1088,Gregory,Cruz,Human Resources,HR Manager,PG7,2023/03/20,,77203,Full Time,gregory.cruz@atech.org
EMP1134,Amy,Moore,Marketing,Marketing Manager,PG7,2024/06/28,,83279,temporary,amy.moore@atech.org
EMP1167,patricia,Green,Executive,Chief Financial Officer,PG6,04/20/2021,"September 03, 2026",65960,Full Time,patricia.green@atech.org
EMP1156,edward,Wright,Engineering,Mechanical Engineer,PG6,2016-09-23,,,FULL-TIME,edward.wright@atech.org
EMP1337,Mark,Scott,Sales,Sales Representative,PG3,12-28-24,,39369,temporary,mark.scott@atech.org
EMP1315,Carol,Hernandez,Legal,Compliance Officer,PG6,11/19/2015,,86226,full-time,carol.hernandez@atech.org
EMP1209,Justin,kelly,Customer Service,Call Center Agent,PG2,22-May-2017,2019-02-06,38920,Full Time,"justin.kelly1@atech,org"
EMP1192,Gary,Lopez,information technology,QA Engineer,PG6,2024/08/15,,88758,Full Time,gary.lopez@atech.org
EMP1037,JONATHAN,White,Sales,Account Executive,PG3,05/07/2021,,,FT,jonathan.white@atech.org
EMP1168,Pamela,Roberts,Operations,Operations Manager,PG7,02-18-22,,80770,Temporary,pamela.roberts@atech.org
EMP1380,ANTHONY,Lee,Customer Service,Client Success Manager,PG7,"June 16, 2018",01-16-24,84336,Temp,anthony.lee@atech.org
EMP1289,JOSHUA,Reed,Operations,Operations Director,PG9,"June 10, 2022",,106226,Full Time,joshua.reed@atech.org
EMP1060,MARGARET,ROBINSON,Operations,Operations Manager,pg7,2018-03-31,,94529,Contract,margaret.robinson@atech.org
EMP1184,Emily,mitchell,Legal,Legal Assistant,PG2,06-04-20,,35029,full-time,emily.mitchell@atech.org
EMP1234, Patrick ,MILLER,Information Technology,QA Engineer,pg6,"January 16, 2017",,"$88,836",Full-Time,patrick.miller@atech.com
EMP1277,Lisa,ROBERTS,Legal,Legal Assistant,,28-Jan-2020,28-Apr-2020,35253,Full-time ,lisa.roberts@atech.org
EMP1021,Jerry,SCOTT,Operations,Operations Director,PG9,"June 05, 2022",,131193,Temp,jerry.scott@atech.org
EMP1119,frank,Bailey,Sales,Business Development Rep,PG3,06/20/2022,,39422,Full Time,frank.bailey@atech.org
EMP1175,Patricia, Parker ,Information Technology,QA Engineer,pg6,05-Jun-2022,08-21-24,73147,PART-TIME,patricia.parker@atech.com
EMP1386,Charles, Stewart ,customer service,Customer Service Rep,,2018/06/02,,37908,Full-Time,charles.stewart@atech.org
EMP1042,Paul,Cook,Engineering,Project Engineer,PG-6,23-Nov-2015,,"$82,344",Full-Time,paul.cook@atech.org
EMP1410,William,Hill,Finance,Accounts Payable Clerk,PG-2,02-18-18,,37721,CONTRACT,william.hill@atech.org
EMP1010, Carol ,Williams,Executive,VP of Marketing,PG9,02-28-15,2022-04-26,"$135,080",TEMPORARY,carol.williams@atech.org
EMP1285,Alexander,Scott,Operations,Operations Director,PG9,09-Sep-2019,,132116,PART-TIME,alexander.scott@atech.org
EMP1500,JERRY,hernandez,Marketing,Marketing Manager,PG7,03-18-15,,95558,PT,jerry.hernandez@atech.org
EMP1098,stephanie,Miller,Executive,VP of Marketing,PG9,06/22/2021,,132756,FULL-TIME,stephanie.miller@atech.org
EMP1204, George ,Miller,Sales,Business Development Rep,PG3,2025/08/11,,41439,Full-Time,george.miller@atech.org
EMP1355,Larry,Morales,Engineering,Engineering Manager,PG6,04-Jul-2018,,86750,full-time,
EMP1312, Emily ,Davis,Customer Service,Client Success Manager,PG7,"October 16, 2020",,85900,full-time,emily.davis@atech.org
EMP1039,David,Young,Finance,Controller,PG3,01/23/2020,,53637,TEMPORARY,david.young@atech.org
EMP1199,Lisa,ANDERSON,Customer Service,Client Success Manager,PG7,"August 26, 2023",,"$89,959",Full Time,lisa.anderson@atech.org
EMP1207,Raymond,Kim,Executive,Chief Operating Officer,PG6,"May 22, 2024",,81518,PT,raymond.kim@atech.org
EMP1497,Jonathan,Howard,Finance,Payroll Specialist,PG4,2020/10/09,,60516,full-time,jonathan.howard@atech.org
EMP1026,Eric,Reyes,Human Resources,HR Director,PG9,"September 21, 2017",,121331,PART-TIME,eric.reyes@atech.org
EMP1227,kevin,Anderson,Legal,Legal Assistant,PG2,08/13/2018,,40848,Full Time,kevin.anderson@atech.com
EMP1190,Rebecca,Nelson,Operations,Warehouse Associate,PG2,08/22/2017,,"$39,593",FULL-TIME,rebecca.nelson@atech.org
EMP1366,Michelle,Williams,Executive,Chief Executive Officer,PG6,03-23-16,,89230,FULL-TIME,michelle.williams@atech.org
EMP1385,george, Gomez ,Marketing,Marketing Coordinator,PG-3,04-13-19,2019/07/17,44049,CONTRACT,george.gomez@atech.org
EMP1025,JACOB,Ward,Finance,Accounts Payable Clerk,PG2,2019/05/12,,35395,Full Time,jacob.ward@atech.org
EMP1314,James,Rogers,Legal,Legal Assistant,PG2,"July 28, 2016",01-24-16,40144,FULL-TIME,james.rogers@atech.org
EMP1180,Emily,gutierrez,Legal,Paralegal,PG4,05-30-24,03/03/2026,57886,Full-Time,emily.gutierrez@atech.org
EMP1334,carolyn,Morgan,Marketing,Marketing Manager,PG7,"June 11, 2018",2019-11-01,80746,full-time,carolyn.morgan@atech.com
EMP1231,emma,Kelly,finance,Accounts Payable Clerk,PG2,2020/03/19,,33096,FULL-TIME,emma.kelly@atech.org
EMP1265,Barbara,Kelly,Customer Service,Customer Support Lead,pg5,13-Apr-2022,,70030,Contract,barbara.kelly@atech.org
EMP1101,PAMELA,Robinson,Human Resources,HR Director,,07-12-23,,"$136,486",Full-time ,pamela.robinson@atech.org
EMP1230,Nicholas,Thomas,Finance,Accounts Payable Clerk,PG-2,10-Jan-2015,,37401,PART-TIME,nicholas.thomas@atech.org
